# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# FG        : Etmaalgemiddelde windsnelheid (in 0.1 m/s) / Daily mean windspeed (in 0.1 m/s)
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2)
# DR        : Duur van de neerslag (in 0.1 uur) / Precipitation duration (in 0.1 hour)
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm)
# UG        : Etmaalgemiddelde relatieve vochtigheid (in procenten) / Daily mean relative atmospheric humidity (in percents)
# STN,YYYYMMDD,   FG,   TG,    Q,   DR,   RH,   UG
  260,20210728,   46,  176, 1264,    9,   33,   80
  260,20210729,   50,  173, 2464,    6,    9,   66
  260,20210730,   40,  170, 1401,   11,   40,   76
  260,20210731,   39,  164, 1447,   27,   86,   86
  260,20210801,   28,  160, 1317,   12,   23,   86
  260,20210802,   18,  153, 1629,    0,   -1,   75
  260,20210803,   15,  143, 1011,   11,   64,   85
  260,20210804,   15,  161, 1660,   13,    6,   81
  260,20210805,   17,  183, 1750,    0,    0,   77
  260,20210806,   46,  188, 1540,    4,   21,   75
  260,20210807,   38,  170, 1668,   23,   77,   80
  260,20210808,   52,  163, 1415,   37,   84,   82
  260,20210809,   35,  166, 1334,    8,  121,   81
  260,20210810,   28,  168, 1849,    5,   19,   80
  260,20210811,   19,  174, 2311,    0,    0,   77
  260,20210812,   21,  190, 2070,    0,   -1,   78
  260,20210813,   31,  177, 1561,    0,    0,   77
  260,20210814,   26,  176, 1476,    0,    0,   80
  260,20210815,   33,  191, 1978,    0,    0,   76
  260,20210816,   44,  159, 1141,   20,   65,   75
  260,20210817,   27,  147,  446,   38,   47,   89
  260,20210818,   25,  168,  737,   13,   16,   85
  260,20210819,   27,  165,  461,    6,    4,   87
  260,20210820,   22,  175, 1228,    0,   -1,   85
  260,20210821,   18,  187, 1426,   35,  119,   84
  260,20210822,   31,  179,  766,   56,  188,   92
  260,20210823,   38,  182, 1709,    0,   -1,   77
  260,20210824,   34,  171, 1878,    0,    0,   81
  260,20210825,   25,  162, 1864,    4,    2,   84
  260,20210826,   34,  163, 1288,    3,    5,   76
  260,20210827,   35,  158, 1447,   10,   19,   82
  260,20210828,   38,  170, 1336,    2,   27,   80
  260,20210829,   33,  162,  370,   22,   11,   90
  260,20210830,   35,  176, 1234,    0,    0,   84
  260,20210831,   29,  163, 1240,    0,    0,   83
  260,20210901,   18,  165,  685,    0,    0,   76
  260,20210902,   19,  163, 1442,    0,    0,   76
  260,20210903,   27,  164, 1729,    0,    0,   83
  260,20210904,   29,  154, 1700,    0,    0,   82
  260,20210905,   19,  156, 1946,    0,    0,   79
  260,20210906,   12,  165, 1602,    0,    0,   78
  260,20210907,   16,  183, 1560,    0,    0,   79
  260,20210908,   25,  194, 1831,    0,    0,   74
  260,20210909,   23,  197, 1579,    0,    0,   80
  260,20210910,   24,  195,  892,   21,   63,   90
  260,20210911,   31,  183,  767,    8,   10,   87
  260,20210912,   23,  159,  973,    0,    0,   84
  260,20210913,   16,  145,  962,    0,    0,   87
  260,20210914,   24,  173, 1188,    7,   10,   86
  260,20210915,   22,  168,  521,    0,   -1,   87
  260,20210916,   26,  162, 1222,    0,   -1,   79
  260,20210917,   14,  159,  946,    0,    0,   87
  260,20210918,   17,  153, 1314,    0,    0,   82
  260,20210919,   32,  154, 1320,    0,    0,   80
  260,20210920,   30,  119, 1273,    0,    0,   75
  260,20210921,   13,  118, 1342,    0,    0,   76
  260,20210922,   21,  132, 1409,    0,    0,   80
  260,20210923,   37,  158,  789,    0,   -1,   80
  260,20210924,   38,  179, 1030,    0,    0,   79
  260,20210925,   21,  169,  753,    0,    0,   87
  260,20210926,   24,  177, 1029,    0,    0,   84
  260,20210927,   37,  154,  588,   22,   49,   87
  260,20210928,   32,  140, 1330,    0,    0,   78
  260,20210929,   38,  118,  515,   52,  146,   84
  260,20210930,   45,  123,  740,    0,   -1,   73
  260,20211001,   49,  135,  420,   39,   62,   81
  260,20211002,   46,  144,  669,   54,   71,   87
  260,20211003,   33,  129,  328,  131,  215,   91
